"title","description"
"Как посмотреть лимиты счета?","Вы можете посмотреть лимиты по счету на месяц, по карте на месяц и на разовую выплату. Для этого: Откройте раздел «Сводка». В разделе «Счета» найдите нужное вам юридическое лицо и нажмите на него. В открывшемся окне будут представлены все расчетные счета, к которым есть доступ с этого юридического лица. Найдите нужный вам счет."
"Как посмотреть выплаты за определенный период?","Это можно сделать в личном кабинете Jump.Finance: Откройте раздел «Сводка». В разделе «Статистика» над графиком вы можете выбрать период, выплаты за который вас интересуют. Для этого нажмите на один из вариантов: «Неделя», «Месяц», «Квартал», «Год». На графике будет отображаться динамика и сумма всех выплат за выбранный период. Вы также можете установить кастомный период: Нажмите на серый прямоугольник, который находится над графиком. В открывшемся окне выберите интересующий вас период. Нажмите на кнопку «Применить»."
"Как посмотреть список выплат с ошибкой?","Это можно сделать в личном кабинете Jump.Finance: Откройте раздел «Сводка». В открывшемся окне в разделе «Статистика» нажмите на прямоугольник «Выплаты с ошибкой». Как повторить выплату с ошибкой"
"Как посмотреть список выплат, которые ждут подтверждения?","Это можно сделать в личном кабинете Jump.Finance: Откройте раздел «Сводка». В открывшемся окне в разделе «Статистика» нажмите на прямоугольник «Выплаты ждут подтверждения». Как подтвердить выплату"
"Как посмотреть лимиты по филиалам?","В разделе «Сводка» вы можете отслеживать лимиты по всем филиалам: Откройте раздел «Сводка», на странице найдите блок «Лимиты по филиалам». Нажмите на «Показать все». Вы можете смотреть информацию по определенным филиалам, выбрав нужное вам юрлицо. Также вы можете видеть информацию об остатках. Как добавить филиалы Вы можете сделать филиал неактивным. Как отключить или удалить филиал Вы можете редактировать информацию о филиале и его лимитах. Как редактировать филиал"
"Как обратиться в поддержку?","Это можно сделать в личном кабинете Jump.Finance: Войдите в личный кабинет. В открывшемся окне нажмите на синий кружок, расположенный в правом нижнем углу. В открывшемся окне нажмите на «Отправить сообщение». Напишите ваш вопрос и нажмите на голубую стрелку, чтобы отправить сообщение. Ожидайте, скоро наш специалист поможет вам."
"Какие бывают статусы выплат?","Статусы выплат можно посмотреть в личном кабинете Jump.Finance: Статус говорит о том, что выплата была успешно создана и ожидает подтверждения. Из этого раздела вы можете: редактировать выплату ; отменить выплату ; скопировать выплату как новую ; подтвердить и провести выплату. Статус говорит о том, что выплата была подтверждена и готова к проведению. Из этого раздела вы можете: редактировать выплату ; отменить выплату ; скопировать выплату как новую ; подтвердить и провести выплату. Статус говорит о том, что выплата была проведена и находится в обработке у банка. Статус говорит о том, что в выплате была допущена ошибка и она не может быть реализована. Из этого раздела вы можете: редактировать выплату ; отменить выплату ; повторить выплату. Статус говорит о том, что выплата была успешно совершена. Из этого раздела вы можете скопировать выплату как новую. Статус говорит о том, что выплата была отменена. Из этого раздела вы можете скопировать выплату как новую."
"Как создать выплату?","Это можно сделать в личном кабинете Jump.Finance: Войдите в раздел «Выплаты» и нажмите «Создать» в правой части экрана. В открывшемся окне введите номер телефона получателя. Если этому получателю уже осуществлялась выплата, можно ввести его ФИО. Введите ФИО получателя и нажмите кнопку «Далее». В открывшемся окне выберите: юрлицо, с которого будут осуществляться выплаты; филиал (если у юрлица есть филиалы); счет, с которого будет осуществляться списание; тип договора. Введите номер договора и VIN автомобиля. Выберите способ перевода. Если вы выбрали способ перевода «Телефон», то будьте готовы внести информацию о банке, куда будет осуществляться выплата. Если это реквизиты другого человека, то переключите тумблер. Если вы выбрали способ перевода «Карта», будьте готовы внести номер карты: Введите сумму перевода. По необходимости добавьте файлы. Нажмите на кнопку «Создать». Созданная выплата будет ожидать подтверждения. Если вы допустили ошибку, то сможете отредактировать выплату. Как редактировать выплату"
"Как найти нужную выплату?","В личном кабинете на телефоне или компьютере откройте «Выплаты» и используйте фильтры: ФИО или телефон; номер договора или VIN Только для автодилеров ; дата Можно выбрать как день, так и период ; юрлицо."
"Как редактировать выплату?","Если вы допустили ошибку в выплате, то можете ее отредактировать, пока она находится на этапе подтверждения или оплаты. Если вы обнаружили ошибку до подтверждения выплаты: Войдите в раздел «Выплаты». В открывшемся окне перейдите в раздел «Подтвердить». Найдите нужную выплату и нажмите на нее. Открывшееся окно промотайте вниз и нажмите на кнопку «Редактировать». Исправьте неверную информацию и нажмите на кнопку «Сохранить». Выплата после этого все так же будет находиться на этапе подтверждения. Если вы обнаружили ошибку в выплате после подтверждения, то можете отредактировать ее до оплаты, иначе после оплаты она будет перемещена в раздел «Выплаты с ошибкой». Чтобы отредактировать выплату после подтверждения: Перейдите в раздел «Выплаты». В открывшемся окне перейдите в раздел «Оплатить». Найдите нужную выплату и нажмите на нее. Открывшееся окно промотайте вниз и нажмите на кнопку «Редактировать». Исправьте неверную информацию и нажмите на кнопку «Сохранить». Выплата после этого переместится в раздел «Подтвердить» и будет ждать подтверждения. Как подтвердить выплату"
